,TF-IDF
worse,0.7460764492410363
strange,0.7446938691955975
nettles,0.743101298100505
appear,0.7420390873240763
light,0.7388697342184765
feelers,0.7387615239112357
disgusted,0.7378528982839965
princes,0.7339267767846351
speak,0.7337381876589658
goloshes,0.7335080598547251
constancy,0.7321237269986719
believed,0.7320403926052479
hansel,0.7296776813524837
speech,0.7271829736093312
fear,0.7259128227532542
between,0.7232425432887223
full,0.7218560682686986
carry,0.7215224623579594
brick,0.7213637349083304
unsought,0.7177800507348595
sparrow,0.7177307654975025
sight,0.715484877034021
damp,0.7096147410739986
hard,0.7088205381685013
crawling,0.7081061071370494
burning,0.7071067811865476
pig,0.7071067811865476
hole,0.7071067811865476
license,0.7071067811865476
tiresome,0.7050269150737695
hour,0.701430888251685
fire,0.7009553748519212
stork,0.7005844629268341
doubt,0.7003794420977063
show,0.6991204976766471
nuts,0.6967600155947712
lie,0.6949161600945439
sent,0.6936749110123661
wings,0.6929132462468705
shoot,0.692687953412553
avail,0.692687953412553
christian,0.6905389324044764
became,0.6865206753591984
fast,0.6846408517803106
burnt,0.6841664660616509
taste,0.6837154572385766
ears,0.683306385932177
position,0.6827750611192485
market,0.6816676453737127
anything,0.6793650673269577
thankful,0.6779198409186538
sons,0.6777475842634033
parlour,0.6762821788520365
nut,0.6756453478437132
tailor,0.6756453478437132
student,0.6755214698855776
shutters,0.6754656058852232
itself,0.6748753104758437
squeezed,0.6730954982558373
person,0.6697790595984034
naturally,0.6693125331284975
ourselves,0.6689633136752422
mad,0.6676132236768071
sadly,0.6661668730332564
obliged,0.6641979486926584
envious,0.6621411284475465
bargain,0.6613062902804179
disgrace,0.6595621853432321
held,0.6594821867897549
neighbours,0.6589909457435864
money,0.6572676140958351
noise,0.65365925582311
shuh,0.6531934714971094
expensive,0.6524333278393136
break,0.6507358689408311
deal,0.6504608413140881
begin,0.6502942814859678
thereupon,0.6460888324792267
cupboard,0.6453676682143947
bees,0.6451303614122821
pouter,0.6448018175078569
pigeon,0.6448018175078569
chin,0.6441168189978838
worth,0.6437992247699325
round,0.641941993622405
gout,0.6411662163515932
bless,0.640746735783659
rule,0.6406108889669939
disagreeable,0.6396574450771354
carving,0.6378851500481993
flower,0.6378640267343538
three,0.6360139567016072
summoned,0.6352046500331745
wiser,0.6323021569050749
stable,0.6317614041169785
ice,0.6299784793405897
travelling,0.6299612597014641
maps,0.629782633558521
contempt,0.629342741694252
window,0.6288265257078934
fat,0.6274873933005393
bread,0.6270369363764369
different,0.6268799885963554
street,0.6261208946798391
gutter,0.6254766202636513
eh,0.6250815107165987
needle,0.6248291799445063
horses,0.6244818278096602
court,0.6218775857968055
foot,0.621766008531144
forget,0.6198497263906274
understand,0.6197459208874795
skin,0.6185141861257507
likely,0.6174059776962468
punishment,0.6171636525680955
wide,0.6169168379202988
fun,0.6143130602703524
buy,0.6135432070353726
afraid,0.6100221511721035
eldest,0.6098182347969714
ducks,0.6085553030462121
dung,0.6082328476769138
alive,0.6053874223635314
born,0.6047424974845719
whispered,0.6027835817460622
least,0.6023317965610238
maria,0.6009768787359352
anna,0.6009768787359352
creaking,0.5992796210885003
branches,0.5966907487585482
tree,0.5950015686731494
iron,0.5945500940852002
secret,0.5900005378558979
bundled,0.5896559478076803
spider,0.5896559478076803
vain,0.589361516765174
lawyer,0.5879263677880666
knock,0.5863130894750221
after,0.5861704412497059
angels,0.5826607429774714
toe,0.5824029637504984
wooden,0.5823172677391047
words,0.5821106181837667
forward,0.5799008956823807
garter,0.5797822337954958
roost,0.5796009515089846
wisdom,0.5773206756506934
tweet,0.5772444698542895
fowls,0.5770938823094529
reason,0.5758751494376132
fallen,0.5758611837409102
ones,0.5747969891041782
dangerous,0.5728274893335515
standing,0.5703780754230495
sake,0.5702911569759548
aha,0.5694212722710608
quack,0.5694212722710608
feet,0.5688312071705236
new,0.5684537765573395
part,0.567602720718039
year,0.566264614107339
pleased,0.5662318574934323
ob,0.5662318574934323
riddance,0.5659978043030787
truth,0.5650144565763077
easily,0.5647086519160012
unkind,0.5646107982434194
curoo,0.5626986995201563
shod,0.5622612494945317
adrift,0.5621722714302075
large,0.5621115234220503
modestly,0.5616945413206568
bottom,0.5601081566101622
ve,0.5600342075837415
attention,0.5596642279662938
treat,0.5583424091599565
staff,0.5563102699746951
hunger,0.5550942923962022
holding,0.5540640942759235
crazy,0.5515513569373087
delightful,0.5515513569373087
herbs,0.5514295852239814
kind,0.5494644339204829
dog,0.5478620849618345
drop,0.546864818076389
laundress,0.546864818076389
moon,0.5461564716559396
pretended,0.5442897899775275
wearisome,0.544256988163583
human,0.5441896068683716
less,0.5425030933296836
trap,0.5411426403246625
nurse,0.5411426403246625
pa,0.5394185660804655
artificial,0.5394185660804655
burdock,0.539142376873231
waiting,0.5383964416929234
shut,0.5373476310150553
obstinately,0.5373476310150553
nickname,0.537211225535844
grisly,0.537211225535844
beard,0.537211225535844
small,0.5363645720665626
law,0.5347105398034262
none,0.5343696271031302
nosegay,0.5341030085243057
claus,0.5334518294438548
believe,0.5333022639015659
villain,0.5322516655355751
comfortable,0.5314753862383951
land,0.5313998661464516
morrow,0.529913330248586
shalt,0.5296025706132566
wanting,0.5285196840418939
conduct,0.52820374784206
country,0.52820374784206
pity,0.5280527663862836
specially,0.5280527663862836
unmarried,0.5270298139191234
play,0.5251125941070937
butterfly,0.5244938572977769
insult,0.5226216547592781
nasty,0.5212880506395521
frederick,0.5203136787040742
seek,0.5202909731137515
cock,0.520216396102423
external,0.5199978378750019
tidy,0.5187499803224961
flicked,0.5162475988190881
whip,0.5162475988190881
talking,0.5152293319427866
soap,0.5140901544800526
bring,0.5138998890925672
plundered,0.5134525195883174
stands,0.5134525195883174
unsheltered,0.5134525195883174
beast,0.5108893111875485
often,0.5103174659679983
gentleman,0.5077796120067751
ale,0.5074213766189086
clerk,0.5072290342861555
poets,0.5072290342861555
unhappy,0.5057165614574128
knowing,0.5047008565888055
grew,0.5023354043303438
sing,0.502112868993423
mocked,0.5018249184565212
peers,0.5018249184565212
clay,0.497677985812612
ditch,0.497677985812612
bah,0.497677985812612
doesn,0.49754784255821183
swallowed,0.4973577859920134
stronger,0.49657298382110254
exist,0.49608229136752124
slept,0.49545847795483666
awaken,0.49545847795483666
cross,0.49490873070282315
staying,0.4948237521682032
clearly,0.49482375216820307
cruel,0.49467272621779973
drunk,0.49467272621779973
age,0.49350288967038597
reality,0.4896022485295073
drink,0.48920627457829324
neither,0.48920627457829324
plates,0.4863928132826726
snap,0.4862407718917778
pipe,0.4862407718917778
faithful,0.48508510963757034
nay,0.48384050408156454
listened,0.48098244481737457
stuck,0.4808677819489111
interested,0.47912660596082063
neighbor,0.47912660596082063
mole,0.47912660596082063
read,0.47617351758893584
seemed,0.47617351758893584
hate,0.47617351758893584
dissatisfied,0.47617351758893584
tender,0.47617351758893584
beef,0.47617351758893584
party,0.47591232114931775
bird,0.47302026142855114
pieces,0.47240939924784375
burden,0.4722806034816222
uglier,0.4714442525570594
grow,0.4714442525570594
depend,0.47143687391191963
heat,0.47115996364661483
produce,0.4693072031149481
thomasina,0.46872117404018515
invitation,0.46872117404018515
happiness,0.4658275208955058
honest,0.4638015117097031
gallows,0.4638015117097031
thief,0.4638015117097031
against,0.46306899964663606
shudder,0.4620577485859625
inward,0.4620577485859625
remember,0.46166334745252735
teased,0.4616121123183602
nice,0.4601200690196367
burdocks,0.4579946694414247
foreigner,0.4579946694414247
degenerate,0.45797549042188956
species,0.45797549042188956
mentioned,0.45797549042188956
noticed,0.457006366812254
judges,0.457006366812254
worshipful,0.457006366812254
servants,0.4569617461315322
beak,0.4567489711802373
hides,0.4557349279791619
single,0.4551280739316493
accomplished,0.4551280739316493
mile,0.4539762482282963
rabbits,0.4539762482282963
wall,0.45327251985980976
causes,0.45327251985980976
cheesemonger,0.4528601396068798
hams,0.4528601396068798
hunca,0.4528601396068798
munca,0.4528601396068798
ill,0.45240756065125576
fatigued,0.45177852421990883
worst,0.45177852421990883
bacon,0.44982290673011466
storeroom,0.44982290673011466
tallow,0.44982290673011466
horrified,0.4497189754533373
pigling,0.4497189754533373
dare,0.4491628005610848
though,0.44827987278649223
quarter,0.4480172021903491
wandering,0.44737087756060945
habit,0.44737087756060945
foxy,0.44737087756060945
whiskers,0.44737087756060945
actually,0.44682856725665493
parcels,0.4464706973813143
cockchafers,0.4457740074599485
fretted,0.4449196998501585
restrain,0.4448364402549797
judged,0.4448364402549797
councillors,0.4448364402549797
lunch,0.4433730477124913
notes,0.4426291630117071
covered,0.4426291630117071
raise,0.4426291630117071
consider,0.44262496542658025
scullion,0.44067154671497305
stinging,0.43819175349108774
nettle,0.43819175349108774
thistle,0.43819175349108774
uncommonly,0.4364039283023331
duchess,0.4364039283023331
feeling,0.4364039283023331
sack,0.43608085963937626
making,0.43597167686785254
idea,0.4328099678366745
entered,0.4328006658800304
fowl,0.43114067109594373
caterpillar,0.43114067109594373
mean,0.4304928517351749
disgust,0.43037821545950594
impertinence,0.43037821545950594
clean,0.42984958063121137
bathed,0.4289712441250959
hollow,0.4275543966959481
queer,0.4275543966959481
wooing,0.4267668628645337
commence,0.4267668628645337
turn,0.4262535594149708
wooer,0.42590755177258693
guess,0.42590755177258693
contemptuously,0.42590755177258693
ready,0.42577888002179004
sour,0.4256145510394238
anemones,0.4256145510394238
morsel,0.4253658547708578
tickle,0.4253658547708578
throat,0.4253658547708578
jens,0.42518092372115457
knight,0.42518092372115457
efforts,0.42518092372115457
plough,0.4248490751145013
suppose,0.4242695938675158
wine,0.4242695938675158
muddy,0.4242695938675158
meant,0.4242695938675158
places,0.4240903656361709
wrong,0.4208661653073038
objection,0.41837262203602227
accomplishment,0.41837262203602227
henceforth,0.41821270636040564
excepting,0.4181326340112192
sophy,0.41676366042958307
spoken,0.41676366042958307
loving,0.41676366042958307
belong,0.41618393017691085
retorted,0.41618393017691085
master,0.41618393017691085
whence,0.41440781344128513
ant,0.4143438208723964
thank,0.4143438208723964
mannikin,0.41422189282184135
pick,0.41422189282184135
thyself,0.41422189282184135
roses,0.4133265035856812
hat,0.4133265035856812
smelt,0.4133265035856812
alarmed,0.41206726225742796
youngster,0.4118899191349624
hurry,0.4118899191349624
impatient,0.4118899191349624
wear,0.41140233910807295
danger,0.4071150438284956
meet,0.4071150438284956
liked,0.40675734784601114
cockchafer,0.40675734784601114
legs,0.40603921311114827
pursuit,0.40603921311114827
beauties,0.4056681706908422
damaged,0.4056681706908422
antiques,0.4056681706908422
suffer,0.40551205235583043
trouble,0.40551205235583043
lead,0.40546623051202196
fourth,0.40546623051202196
imitate,0.40546623051202196
burn,0.40354242132087315
along,0.40333854093188604
properly,0.4029318837360396
become,0.40213735037719583
drum,0.40196853843367303
declared,0.40196853843367303
unbearable,0.40196853843367303
grumble,0.4016748817365135
pictures,0.4016748817365135
droll,0.4016748817365135
amusing,0.4016748817365135
cutting,0.4016748817365135
yourself,0.4004386149165377
commanded,0.39912934998026406
murderer,0.39912934998026406
withered,0.39906140639363974
faded,0.39906140639363974
pointed,0.39906140639363974
prize,0.3964292545183056
creature,0.39503611078541945
lecture,0.3928796456927534
daisy,0.3928796456927534
sulky,0.3928796456927534
otherwise,0.3928796456927534
peonies,0.3928796456927534
beating,0.3922564161734553
owl,0.3922564161734553
rolled,0.3922564161734553
unhappiness,0.39163928113281427
virgin,0.39163928113281427
cause,0.39163928113281427
mary,0.39163928113281427
forbidden,0.39163928113281427
quantity,0.3886215045452845
galleries,0.3886215045452845
expected,0.3886215045452845
across,0.3882038938089795
drive,0.3882038938089795
islands,0.3882038938089795
kettle,0.38817522352890793
abominable,0.3876210925498443
hit,0.38755201052108174
fastest,0.38675178930655885
pots,0.38633946413392517
plants,0.38633946413392517
paid,0.3862499241257916
hills,0.3862499241257916
ugliest,0.38543740440227486
extreme,0.38543740440227486
plague,0.38537178839150155
interposed,0.38537178839150155
requires,0.38537178839150155
nursing,0.38537178839150155
seat,0.38515255027580303
frightened,0.38515255027580303
shutting,0.38515255027580303
daa,0.38481146753337836
blew,0.38481146753337836
peace,0.3839302472543688
wert,0.3839302472543688
understanding,0.38376845159822376
urge,0.38367593856155796
knots,0.38367593856155796
contrary,0.38367593856155796
indigestible,0.38367593856155796
persuaded,0.38367593856155796
proved,0.38367593856155796
peeping,0.38361386226991645
comfort,0.383497518624557
darning,0.383497518624557
pull,0.3826792088916728
perhaps,0.38260402977776964
silver,0.3825752145861412
besides,0.3822480505378698
journeyman,0.3814602806861415
machine,0.3814602806861415
entreaties,0.38114091269736255
persistent,0.38114091269736255
glass,0.38114091269736255
overcome,0.38114091269736255
drank,0.38114091269736255
difference,0.37988831379718396
direction,0.3796936425387392
parapet,0.3796936425387392
projects,0.3796936425387392
windows,0.3796936425387392
brock,0.37933207683138914
tommy,0.37933207683138914
grinned,0.37933207683138914
rope,0.37933207683138914
nest,0.37925652277319466
tedious,0.37925652277319466
heads,0.37808171279487596
fishes,0.37808171279487596
shoal,0.37808171279487596
sighed,0.37796447300922725
pettitoes,0.37796447300922725
aunt,0.37796447300922725
thick,0.37702070340113203
purchaser,0.3763816261512671
regrets,0.3763816261512671
casket,0.3763816261512671
gilding,0.3763816261512671
injured,0.3763816261512671
account,0.37533929166017105
karen,0.37533929166017105
hideous,0.37533929166017105
rebellious,0.3741382873733222
horror,0.3735153721935649
expecting,0.3735153721935649
mischief,0.37322759195878713
grumbled,0.37291677202786105
luck,0.37291677202786105
beetles,0.3721995820576944
vagabond,0.3721995820576944
road,0.37122587596097184
hedge,0.37122587596097184
close,0.37122587596097184
public,0.37122587596097184
forsaken,0.37122587596097184
grey,0.3711381914229502
frock,0.3711381914229502
sa,0.3703399190911789
hanged,0.3694005078750181
uproar,0.3694005078750181
improve,0.36928000588533344
leg,0.36928000588533344
rag,0.36928000588533344
accordingly,0.3669631373180227
supper,0.3669631373180227
finished,0.3669631373180227
hailing,0.36672326303627273
boughs,0.36672326303627273
rattled,0.36672326303627273
thieves,0.36672326303627273
earn,0.3654842505515648
maid,0.3654842505515648
hanging,0.36476573043093297
gibbet,0.36476573043093297
stealing,0.36476573043093297
hearts,0.36476573043093297
means,0.36439322126277307
discover,0.3643181123644744
mental,0.3643181123644744
strong,0.3643181123644744
destined,0.3643181123644744
powers,0.3643181123644744
treasures,0.3643181123644744
discern,0.3643181123644744
madonna,0.36314525908532846
endless,0.36314525908532846
madonnas,0.36314525908532846
italy,0.36307579769159404
travelled,0.36307579769159404
change,0.36307579769159404
couple,0.36307579769159404
consequently,0.36307579769159404
railing,0.3627055843405674
brass,0.3627055843405674
knobs,0.3627055843405674
cemetery,0.3627055843405674
gate,0.3627055843405674
suddenly,0.3601434142496368
considered,0.3601434142496368
speaker,0.3601434142496368
side,0.3597986489686145
church,0.35963669299010925
led,0.35963669299010925
broad,0.35963669299010925
steep,0.35963669299010925
stairs,0.35963669299010925
tower,0.35963669299010925
staircase,0.35963669299010925
thus,0.35932249867617716
grimaces,0.35783751201928665
dived,0.35783751201928665
mcgregor,0.35773381371189
sell,0.35773381371189
baccy,0.35773381371189
shouted,0.35773381371189
cloak,0.35773381371189
line,0.35773381371189
ragged,0.3570414799695858
torn,0.3570414799695858
table,0.3570414799695858
miller,0.3570414799695858
grace,0.35692796618286343
swims,0.35692796618286343
disposition,0.35692796618286343
sea,0.3562449088462876
defend,0.3556098463584756
trial,0.3556098463584756
condemned,0.3556098463584756
naughty,0.3549713506245813
fit,0.3548795431728442
witch,0.3545019175427764
riding,0.3545019175427764
course,0.35357506951827455
lovable,0.35244637750741287
repulsive,0.35244637750741287
body,0.349053887718687
insects,0.34896712413745296
wet,0.34876653633671545
present,0.34876653633671545
fires,0.34876653633671545
win,0.34764661824710846
real,0.346820765720212
beg,0.346820765720212
pardon,0.346820765720212
pleasure,0.346820765720212
widow,0.3463034115194295
forsake,0.3463034115194295
holds,0.3463034115194295
bend,0.3463034115194295
borglum,0.3463034115194295
fingered,0.3458469364389872
folks,0.3458469364389872
snipped,0.3458469364389872
hang,0.34463049451793804
ll,0.34463049451793804
roast,0.34463049451793804
freeze,0.34463049451793804
plucks,0.34410468590097265
becoming,0.34410468590097265
lets,0.34410468590097265
omitted,0.34406178115944996
seeing,0.34406178115944996
afterwards,0.34400310589300864
begrudged,0.34400310589300864
mill,0.34400310589300864
drudge,0.34400310589300864
foolish,0.34400310589300864
sang,0.34337011064932477
weeds,0.3431261465232392
rich,0.3419026020674605
waist,0.34154044873139655
slim,0.34154044873139655
eater,0.340612096204682
loudly,0.340612096204682
loss,0.340612096204682
abroad,0.340612096204682
reported,0.340612096204682
goodness,0.33752424067867426
mine,0.33752424067867426
smiled,0.33752424067867426
elder,0.33752424067867426
witty,0.33699387598315916
treading,0.3364713908641822
crackled,0.3364713908641822
fir,0.3364713908641822
marrying,0.335772668936045
shed,0.334657944611579
returned,0.334657944611579
innocent,0.334657944611579
harmed,0.334657944611579
stroke,0.33380661183840354
sunbeam,0.33380661183840354
rags,0.3331492450135678
pleasant,0.3331492450135678
hats,0.3331492450135678
plaster,0.3331492450135678
fragments,0.3331492450135678
meat,0.33300866660926526
soup,0.33300866660926526
cookery,0.33300866660926526
stuff,0.33300866660926526
arrive,0.33185508440538247
critic,0.33185508440538247
wretched,0.33185508440538247
evidently,0.33185508440538247
exactly,0.33185508440538247
contrast,0.33185508440538247
soul,0.33185508440538247
drove,0.33048942431166145
chestnut,0.33048942431166145
four,0.33048942431166145
asleep,0.33048942431166145
raven,0.33048942431166145
sorrowfully,0.33048942431166145
upper,0.3301441783496839
missing,0.3301441783496839
neglected,0.33005496027181436
bed,0.33005496027181436
forgot,0.33005496027181436
shake,0.33005496027181436
hearing,0.3289553650051327
drown,0.3289553650051327
gold,0.32867662309871476
indolent,0.32795684142079967
simply,0.32795684142079967
move,0.32795684142079967
tod,0.32795684142079967
incurably,0.32795684142079967
foundling,0.3277389814320039
dustpan,0.3265967357485547
clattering,0.3265967357485547
hurts,0.32656619914381246
load,0.32656619914381246
shoulder,0.32656619914381246
hold,0.32656619914381246
heavy,0.32656619914381246
dough,0.32656277274023854
tail,0.32656277274023854
measure,0.3259085389460587
tar,0.3259085389460587
smeared,0.3259085389460587
kings,0.32377806183788993
simpleton,0.32377806183788993
watched,0.32377806183788993
scorned,0.32363793469588575
birth,0.32363793469588575
task,0.32363793469588575
perform,0.32363793469588575
